preu_actual,preu_original,descompte,titol,enllaç,descripcio,agent_nom,parking,tags,habs,metres2
2.450.000€,2.590.000 €,5%,"Pis a carrer de València, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105473433/,"Aquest increïble habitatge reformat a estrenar es troba a un carrer del Passeig de Gràcia, en una de les zones més cotitzades de l'Eixample barceloní. El luxe, el confort i un estil de vida únic s'uneixen en aquest Principal de 188,7 m2 construïts interiors i terrassa de 124 m2. Està en una finca modernista amb només un pis per planta i ascensor que entra directament al pis. Un impressionant rebedor ens dóna la benvinguda amb un gran finestral que dóna al pati del qual gaudeix el pis. Aquest ha estat reformat amb fusta de teka i s'ha plantat u",Bcn Advisors,No indicat,"Reformat, Luxe",4,253
750.000€,785.000 €,4%,"Àtic a Gran Via de les Corts Catalanes, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/103930029/,"Aquest meravellós àtic de 87 m2 construïts interiors segons Cadastre i terrassa de 9 m2 t'ofereix una experiència única en una finca plena de detalls modernistes, submergint-te en l'elegància i l'encant del passat. Amb una ubicació privilegiada a 10 minuts caminant de Plaça Catalunya, l'habitatge és completament exterior i gaudeix d'una radiant orientació que banya cada racó amb llum natural. En accedir a l'habitatge, descobriràs una distribució intel·ligent que divideix clarament la zona de dia i la de nit. La cuina semi oberta et dóna la ben",Bcn Advisors,No indicat,Lluminós,2,97
765.000€,,0%,"Pis a carrer de la Mercè, El Gòtic, Barcelona",https://www.idealista.com/ca/inmueble/106475860/,"Apartament de luxe a Passeig de Colom amb vistes panoràmiques de 180 º al Port Marítim completament reformat. Amb una superfície construïda de 110 m², aquesta propietat ha estat completament renovada i està a punt per estrenar-se. Aquest apartament d´alt nivell combina disseny contemporani amb l´encant d´un edifici neoclàssic de 1875, acuradament actualitzat per conservar la seva arquitectura original. L´habitatge compta amb dos dormitoris dobles, dos banys complets i un elegant rebedor que condueix a un ampli passadís il·luminat amb bigues r",Walter Haus Barcelona,No indicat,Vistes al mar,2,110
1.275.000€,,0%,"Pis a passeig de Colom, El Gòtic, Barcelona",https://www.idealista.com/ca/inmueble/106476051/,"Exclusiu pis de 131 m² al Barri Gòtic de Barcelona, completament reformat i moblat. Aquesta propietat elegant està situada en una finca règia d'estil modernista en perfecte estat i es troba en una quarta planta real, accessible per ascensor, oferint el màxim confort i qualitat. En entrar-hi, un ampli rebedor condueix a un espaiós saló menjador, decorat amb calidesa i bon gust. Aquest saló inclou una cuina oberta equipada amb electrodomèstics d´alta gamma i un balcó orientat al sud, amb vistes clares al port. Els terres de parquet de fusta nat",Walter Haus Barcelona,No indicat,Vistes al mar,2,131
1.350.000€,1.400.000 €,4%,"Pis a passeig de Gràcia, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105043094/,"Aquest pis de luxe es troba al Passeig de Gràcia, en un edifici obra del prestigiós arquitecte Josep Puig i Cadafalch, davant de la Casa Batlló i la Casa Ametller. Es tracta d'una ubicació envejable en una de les millors avingudes de tota Europa, envoltada de totes les comoditats i serveis que una ciutat com Barcelona et pot oferir. L'habitatge es troba a la tercera planta real i és molt tranquil, ja que dóna al pati de poma. Un ampli rebedor ens condueix al saló-menjador de 30 m2, que disposa d'una agradable zona de galeria orientada al pati",Bcn Advisors,No indicat,Lluminós,3,115
2.500.000€,,0%,"Àtic a carrer dels Valero, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/106483261/,"Exclusiu àtic de 280 m², a quatre vents, es troba a poca distància a peu del Turó Park, en una finca neoclàssica dels anys 50. Envoltat de jardins i amb un elegant vestíbul d'entrada, aquest edifici amb només cinc veïns garanteix privadesa i tranquil·litat, cosa que el converteix en un lloc únic per viure. L'ascensor us porta directament a un rebedor privat que dóna accés a un ampli saló amb sostres sota teulada de 4 metres d'alçada i terres de fusta natural. Des del saló s´accedeix a una terrassa de 20 m², perfecta per gaudir del sol i les v",Walter Haus Barcelona,Pàrking inclòs,,4,280
1.150.000€,,0%,"Pis a carrer del Bruc, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106506847/,"Presentem aquest impressionant habitatge situat al prestigiós barri de l'Eixample Dreta. Ubicada en una setena planta d'una finca règia amb caràcter i estil, totalment reformada el 2001, aquesta propietat de 195 metres quadrats, segons cadastre, t'ofereix una qualitat de vida inigualable. Compta amb quatre grans dormitoris, exteriors, un amb un elegant vestidor i tres banys, sent un en suite, proporcionant el màxim confort. L´ampli saló-menjador és molt lluminós, oferint l´espai ideal per gaudir de moments especials. La cuina, és àmplia i ext",Walter Haus Barcelona,No indicat,,4,180
695.000€,715.000 €,3%,"Àtic a carrer de València, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106061040/,"Penthouse de 79 m² construit, situé dans un bâtiment moderniste classé de 1936, dans le prestigieux Quadrat d'Or de Barcelone. La maison dispose de 3 chambres, dont une suite parentale, une chambre de taille moyenne avec une salle de bain attenante et une chambre simple, fonctionnellement réparties pour maximiser la commodité et le confort. L'espace est divisé en un espace jour qui comprend un salon avec un plafond en volta catalane, des sols d'origine et de grandes fenêtres orientées sud, offrant une lumière naturelle abondante et des vues d",Walter Haus Barcelona,No indicat,,3,79
2.000.000€,,0%,"Casa o xalet independent a carrer de Benedetti, 78, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/103305568/,"Aquesta fabulosa moderna i funcional casa unifamiliar es divideix en quatre plantes i un solàrium que comuniquen entre si mitjançant ascensor i escala. La seva superfície total és de 455 m2, dels quals 113 m2 corresponen al garatge per a tres cotxes i motos i 77 m2 a lespai demmagatzematge i zona de bugaderia. Construïda el 2004 sobre un solar d´uns 250 m2, disposa d´una meravellosa terrassa de 157 m2 orientada al mar amb jacuzzi i zona enjardinada. Es troba al barri de La Bonanova, a prop de col·legis i universitats de prestigi, transport públ",Lucas Fox,Pàrking inclòs,"Vistes al mar, Luxe",4,292
2.755.000€,,0%,"Pis a Jardí de Tòquio, Pedralbes, Barcelona",https://www.idealista.com/ca/inmueble/106253657/,"Espectacular habitatge reformat estrenat a Pedralbes. Aquest habitatge únic i exclusiu d'alt standing es troba en una ubicació privilegiada al costat de la Creu de Pedralbes, una de les àrees més prestigioses de Barcelona. Disposa de 259,37 m2 construïts interiors i una terrassa de 14 m2. El pis es situa un edifici extraordinari, catalogat com a part del nostre valuós patrimoni cultural a la ciutat de Barcelona. El seu disseny hexagonal, amb elegants gelosies de fusta natural i amplis finestrals, és veritablement distintiu. A més, la finca",Bcn Advisors,Pàrking inclòs,"Reformat, Luxe",5,266
